Ссылка,Заголовок,Текст,Темы,Дата,Время
https://www.metalinfo.ru/ru/news/156838,Новые расчеты. Российский и мировой рынок сортового проката: 25 декабря — 9 января,"До весны темпы этого роста, скорее всего, будут низкими. У некоторых поставщиков еще есть избыточные запасы. Продолжается понижение в секторе фасонного проката. Высокий уровень процентных ставок будет оказывать негативное влияние на строительную отрасль. В первой половине 2024 г., очевидно, будет наблюдаться значительный спад ипотечного кредитования. Тем не менее, благодаря большому количеству проектов, стартовавших в прошлом году, видимый спрос на стальную продукцию строительного назначения будет неплохим.
На мировом рынке в начале января немного прибавил металлолом в Турции, что способствовало некоторому подорожанию стальной продукции, хотя для отечественных поставщиков это сводится на нет подорожанием транспортировки. Китайские компании в последнее время тоже немного увеличили стоимость полуфабрикатов на экспорте несмотря на снижение внутренних котировок на арматуру. Однако видимый спрос на сортовой прокат в большинстве регионов мира остается слабым, а уровень цен во многом будет зависеть от затрат производителей.
С полным текстом обзора Вы можете ознакомиться поссылке.
Приглашаем всех принять участие в новыхвыставкахиконференциях, которые состоятся в 2024 г.! Программа текущего года начнется 15-16 февраля в Сочи, где будет проведена конференция ""Региональная металлоторговля России"". Москва 14 и 15 марта примет конференцию ""Оцинкованный и окрашенный прокат: тенденции производства и потребления"". А на конференцию ""Рынок металлов Центральной Азии и Закавказья"" мы приглашаем 11-12 апреля в Баку.",Цены;арматура;Российский рынок металлов;заготовка;сортовой прокат;Прогнозы;Мировой рынок стали,2024-01-10T13:07,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156832,ММК представляет свою продукцию на международной выставке в ОАЭ,"Выставка стартовала 8 января и продлится по 11 января 2024 года. Это заметный международный форум, специализирующийся на промышленном оборудовании для металлообработки. Также в выставочной тематике SteelFab отражены металлопроизводство и изготовление металлоконструкций, достижения нефтегазовой, строительной, электротехнической, судостроительной и других смежных отраслей.
Ближний Восток является одним из приоритетных экспортных рынков для Магнитогорского металлургического комбината. На этот регион приходится более половины экспортных продаж ММК в страны дальнего зарубежья. Местные покупатели заинтересованы в поставках горячекатаных и холоднокатаных рулонов, а также оцинкованного проката.",ММК,2024-01-10T12:19,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156835,Королевский трубный завод расширяет регионы присутствия,"Регионы присутствия Королевского трубного завода прирастают Уралом и Сибирью, сообщают в компании. В частности, стартовали продажи трубной продукции в Екатеринбурге, Новосибирске и соседних регионах. Вслед за развитием производственно-складского комплекса в г. Екатеринбург, открыт офис по адресу: г.Екатеринбург, ул. Вайнера, 9а. Ведется набор менеджеров и руководителей отдела продаж.
Развитие регионального присутствия станет одной из тем конференции ""Региональная металлоторговля России"", которая пройдет 1516 февраля 2024 г. в Сочи.Подробнее",Королевский трубный завод;Региональная металлоторговля России;стальные трубы,2024-01-10T12:05,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156820,На «Макеевкоксе» запустили гранулятор пека,"В смолоперегонном цехе завода «Макеевкокс» (г.Макеевка, Донецкая Народная Республика) введен в эксплуатацию гранулятор пека. Благодаря этому предприятие начало выпускать целый ряд новых, очень востребованных, видов продукции: пек электродный, сырье для технического углерода, поглотительное масло, нафталиновую фракцию и котельное топливо, – сообщает пресс-служба ООО «Южный горно-металлургический комплекс» (ЮГМК).
«В создании и реализации данного инвестиционного проекта принимал участие весь коллектив завода. Документацию разработали конструкторское бюро и технический отдел «Макеевкокса». Работники ЦРКХО, РМЦ, ЦЛАТП, электроцеха, службы главного механика, отдела главного энергетика и смолоперегонного цеха также внесли свой вклад», – отмечает главный инженер «Макеевкокса» Сергей Губанов.
«Макеевкокс» специализируется на выпуске доменного кокса, коксовых орешка и мелочи, каменноугольных смолы и бензола сульфата аммония коксохимического производства, полимеров бензольных отделений, каменноугольного электродного пека, котельного коксохимического топлива, коксохимического сырья для производства высокоструктурного техуглерода, легкого каменноугольного и каменноугольного поглотительного масел, а также нафталиновой фракции. В настоящее время все структурные подразделения завода действуют в обычном режиме.
",Макеевкокс;ДНР;новая продукция;коксохимическое производство;ЮГМК;новые регионы,2024-01-10T11:12,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156819,В 2023 г. Макеевский метзавод выпустил 700 тыс. т готовой продукции,"В 2023 г. объем производства готовой продукции на прокатных станах Макеевского металлургического завода (ММЗ, г.Макеевка, Донецкая Народная Республика) достиг рекордного уровня и превысил 700 тыс. т, – сообщает пресс-служба Министерства промышленности и торговли ДНР.
«Предприятие работало не только над выполнением плана, но и над расширением сортамента выпускаемой продукции. На проволочном стане “150” было освоено производство трех новых востребованных видов арматурного проката в бунтах, на сортопрокатном стане “390” – горячекатаного арматурного проката по ГОСТ 5781 и, наконец, была выпущена опытная прокатка новых арматурных профилей. В 2024 г. завод будет решать еще более масштабные задачи по выпуску металлопроката и освоению новых рынков», – рассказывает управляющий ММЗ Андрей Лаверченко.
ММЗ входит в состав созданного в середине 2021 г. ООО «Южный горно-металлургический комплекс», включающего также Алчевский металлургический комбинат (АМК), Енакиевский металлургический завод (ЕМЗ), Стахановский завод ферросплавов (СЗФ), Ясиновский коксохимический завод (ЯКХЗ), «Макеевкокс» и Комсомольское рудоуправление (КРУ).
ММЗ является филиалом ЕМЗ, предприятия с полным технологическим циклом и поставщика сырья для ММЗ, и специализируется на выпуске катанки, арматуры и углового проката.
",арматура;статистика;ДНР;производство проката;ЮГМК;Макеевский металлургический завод;новые регионы,2024-01-10T07:08,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156818,ЦНИИчермет им. И.П. Бардина реализует 4 инжиниринговых проекта,"Научно-инжиниринговый центр ЦНИИчермет (https://chermet.net/engineering-center/) продолжает реализацию проектов с различными заказчиками – металлургическими предприятиями. Сейчас в работе 4 проекта, в т.ч. по проектированию цеха литейно-кузнечной продукции на ММК, который планируется запустить в 2025 году. Институт здесь выступает в роли генерального проектировщика объекта. Годовая производительность цеха будет достигать 25 тысяч тонн, а его запуск позволит создать 774 рабочих места.
В прошлом году научно-инжиниринговый центр ЦНИИчермет реализовал 7 проектов с ММК, Северсталью, ВТЗ, Уральской Сталью и другими предприятиями. Наши конструктора подготавливали технико-коммерческое предложение на реконструкцию МНЛЗ НЛМК, составляли технико-коммерческое предложение на реконструкцию МНЛЗ Северского трубного завода, реализовали проект модернизации кристаллизаторов МНЛЗ ММК и др.",ЦНИИчермет им. И.П. Бардина;инжиниринг,2024-01-10T06:18,10 января 2024 г.
https://www.metalinfo.ru/ru/news/156815,20 патентов на уникальные изобретения получили предприятия ЕВРАЗа на Урале в 2023 г.,"20 патентов на уникальные изобретения выдала Федеральная служба по интеллектуальной собственности России предприятиям ЕВРАЗа на Урале в 2023 году
Металлурги ЕВРАЗ НТМК патентовали технические решения в области использования огнеупоров, выпуска стали и мелющих шаров:
- 2 патента посвящены новым способам непрерывной разливки стали и модернизации роликовой секции МНЛЗ;- 2 патента касаются усовершенствования технологии производства и конфигурации весового дозирующего оборудования на шаропрокатном стане.
Изобретения повышают эксплуатационную надежность оборудования и стойкость изделий, снижают простои и улучшают точность производства. Ежегодный экономический эффект составляет 1 млрд рублей.
ЕВРАЗ КГОК разработал и запатентовал модель струйного аппарата для перекачивания водных растворов в цехах фабрики окускования. Гидроэлеватор установлен в зумпфе-накопителе и используется для удаления рабочих жидкостей. В сравнении со схожими моделями у запатентованного агрегата увеличена открытая приемная камера, унифицирована форма форсунки, а КПД на 50 % выше.
Все технологии прошли испытания и успешно применяются на комбинатах.",Евраз,2024-01-09T15:27,09 января 2024 г.
https://www.metalinfo.ru/ru/news/156805,Президентом Группы НЛМК избран Сергей Каратаев,"Акционеры ПАО «НЛМК» на состоявшемся 6 января 2024 года внеочередном общем собрании приняли решение об избрании Сергея Каратаева на пост Президента (Председателя правления) Группы НЛМК.
Группа НЛМК - вертикально-интегрированная металлургическая компания, крупнейший в России и один из самых эффективных в мире производителей стальной продукции.
Металлопродукция НЛМК используется в различных отраслях, от строительства и машиностроения до энергетического оборудования и оффшорных ветровых установок.",НЛМК;назначения;акционеры,2024-01-09T12:03,09 января 2024 г.
https://www.metalinfo.ru/ru/news/156803,Параллель поставила крепёж для строительства трассы М-12,"Перед Новым годом Президент России В.В.Путин открыл трассу М-12 ""Восток"".
Больше 200 тонн высокопрочного мостового крепежа поставилаПараллельдля строительства трех крупнейших мостов трассы: вантового моста через Оку, монолитного через Суру и трехкилометрового через Волгу.
Весь крепеж изготовлен в Орле. Так, часть заказа – болты и гайки по ГОСТу 53664 - выполнил ОСПАЗ, часть заказа изготовило производственное подразделение группы компаний ""Параллель"". ""Параллель"" же выполнила весь необходимый сервис – нанесение защитного термодиффузионного покрытия, хранение, комплектацию, поставку крепежа точно на объект.
«Мы понимаем, что важно заводам металлоконструкций, и обеспечиваем весь необходимый сервис, чтобы федеральные стройки получили весь российский крепеж необходимого качества точно в срок. Трасса М-12 до Казани сдана раньше запланированного срока и мы гордимся, что в общем успехе есть и наша часть», - отмечает руководитель группы компаний ""Параллель"" Андрей Куров.
Напомним, протяженность трассы превышает 800 км. Автодорога позволяет сократить время в пути между Москвой и Казанью с 12 до 6,5 часов. Трасса объединяет 5 регионов: Московскую, Владимирскую, Нижегородскую области, республики Чувашию и Татарстан. В ходе строительства возведено более 300 искусственных сооружений, в том числе три уникальных моста: вантовый через Оку, монолитный через Суру и 3-километровый через Волгу.",Метизы;Проволока - крепеж;Параллель,2024-01-09T11:35,09 января 2024 г.
https://www.metalinfo.ru/ru/news/156798,ММК-МЕТИЗ освоил выпуск шурупов для модернизации железнодорожных путей,"На Магнитогорском метизно-калибровочном заводе ОАО «ММК-МЕТИЗ» в рамках реализации мероприятий по модернизации рельсовых скреплений железнодорожного пути железных дорог России освоено производство шурупов путевых удлиненных с шестигранной головкой из стали марки 25Г2А.
Рельсовые скрепления – важнейший элемент верхнего строения пути. Его модернизация направлена на сокращение времени и снижение затрат на ремонты и содержание путей, повышение качества и надежности элементов верхнего строения железнодорожного пути и в конечном счете на увеличение пропускной способности железнодорожного транспорта.Ранее шурупы путевые удлиненные с шестигранной головкой изготавливались из стали марки 20. Применение при выпуске стали марки 25Г2А позволяет повысить прочностные свойства шурупа (среднее значение разрушающей нагрузки на 30 процентов выше стандартной для шурупов из стали марки 20), и сохранить необходимые пластические свойства продукции.
Комиссией ОАО «РЖД» проведены типовые испытания установочной партии шурупов путевых ЦП54, изготовленных по ТУ 1293-165-01124323-2005 из стали марки 25Г2А. Шурупы показали положительные результаты испытаний, что служит основанием для последующих поставок шурупов путевых из стали марки 25Г2А по заказам ОАО «РЖД».
С 2021 года ОАО «ММК-МЕТИЗ» в адрес ОАО «РЖД» было отгружено свыше 27 тысяч тонн продукции. Продуктовая линейка для железнодорожников включает в себя 11 наименований крепежа, в том числе уникальные позиции, не изготавливаемые другими предприятиями. На данный момент рассматривается возможность расширения сортамента для развития сотрудничества с ОАО «РЖД».",ММК-Метиз;Метизы,2024-01-09T10:53,09 января 2024 г.
