+,+,,,,,,,,,,,,,,,,,,,
,,,,+,,,,,,,,+,,,+,,,,,
,,,,+,,,,,,,,,,,,,,,,
,,,,,,,,,+,,,,,,,,,,,
,,,,+,,,+,,,,,,,,,,,,,
,,,,,,,,,+,,,,,,,,,,,
,,+,,,,,,,,,,,,,+,,,,,
,,,,+,,,+,,,,,,,,,,,,,
,,,,,,+,,,,,,+,,,+,,,,,
,,,,,,,,,,+,,,,,,,,,,
,,,,,,+,,,,,,,,,+,,,,,
,,,,,,,,,,+,,,,,,,,,,
+,,,,,,,,,,,,,,,,,,,,
,,,,,+,,,,,+,,,,,+,,,+,,
,,,,,+,,,,,+,,,,,,,,+,,
,,,,,,,,,,,,,,,+,,,,,
,,,,,,,,,,,,,,,+,,,,,
+,,,,,,+,,,,,,,,,,,,,,
+,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+,,,,,
,,,,,,+,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+,,,,,
,,+,,,,,,,,,,,,,,,,+,,
+,+,,,,,,,,,,,,,,,,,,,
,,,,,,+,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,+,,,+,,
+,,,,,,+,,,,,,,,,,,,,,
,,,,+,,,+,,,,,,,,,,,,,
,,,,,,,+,,,,,,,,,,,,,
,,+,,,,,,,,,,,,,,,,,,
+,+,,,,,,,,,,,,,,,,,,,
,,,,+,,,+,,,,,,,,,,,,,
+,,,,,,,,,,,,,,,,,,,,
+,,,,,,+,,,,,,,,,,,,,,
,,,,+,,,,,,,,+,,,,,,,,
,,,,+,,,,,,,,,,,,,,,,
,,,,+,,,+,,,,,,,,,,,,,
,,,,+,,,,,,,,,,,,,,,,
,,+,,,,,,+,,,,,,,,,,,,
,,,,+,,,,,,,,,,,,,,,,
+,,,,,,,,,,,,,,+,,,,,,
,,,,,,,,,,,,,+,,,,,,,
,,+,,,,,,,,,,,,,,,,,,
,,,,,,,+,,,,,,,,,,,,,
,,+,,,,,,,,,,,,,,,,,,
,,,,,,,,,+,,,,,,,,,,,
,,,,,,,,,+,,,,,,,,,,,
,,,,,,,,,+,,,,,,,,,,,
,,,,+,,,,,,,,,,,,,,,,
+,,,,,,+,,,,,,,,,,,,,,
+,+,,,,,,,,,,,,,,,,,,,
+,+,,,,,,,,,,,,,,,,,,,
,,,,,,+,,,,,,,,,+,,,,,
,+,,,,,,,,,,,,,,+,,,,,
,,,,+,,,,,,,,,,,+,,,,,
,,,,,,+,,,,,,,,,+,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,+,,,,,,,
,,,,,,,,,,,,,+,,,,,,,
,,,,,,,,,,,,,,,+,,,,,
,,,,,,,+,,,,,,,,+,,,,,
,,,,+,,,,,,,,,,,+,,,,,
+,+,,,,,,,,,,,,,,,,,,,
,,,,+,,,,,,,,,,,+,,,,,
,,,,,,,,+,,,,,,,+,,,,,
+,+,,,,,,,,,,,,,,,,,,,
,+,,,,,+,,,+,,,,,,,,,,,
,,,,,,,+,,,,,,,,+,,,,,
+,,,,,,,,+,,,,,,,,,,,,
,,,,,,+,,,,,,,,,+,,,,,
,,,,,,,,+,+,,,,,,,,,,,
